city,province,region
Bangued,Abra,Cordillera Administrative Region (CAR)
Boliney,Abra,Cordillera Administrative Region (CAR)
Bucay,Abra,Cordillera Administrative Region (CAR)
Bucloc,Abra,Cordillera Administrative Region (CAR)
Daguioman,Abra,Cordillera Administrative Region (CAR)
Danglas,Abra,Cordillera Administrative Region (CAR)
Dolores,Abra,Cordillera Administrative Region (CAR)
La Paz,Abra,Cordillera Administrative Region (CAR)
Lacub,Abra,Cordillera Administrative Region (CAR)
Lagangilang,Abra,Cordillera Administrative Region (CAR)
Lagayan,Abra,Cordillera Administrative Region (CAR)
Langiden,Abra,Cordillera Administrative Region (CAR)
Licuan-Baay,Abra,Cordillera Administrative Region (CAR)
Luba,Abra,Cordillera Administrative Region (CAR)
Malibcong,Abra,Cordillera Administrative Region (CAR)
Manabo,Abra,Cordillera Administrative Region (CAR)
Peñarrubia,Abra,Cordillera Administrative Region (CAR)
Pidigan,Abra,Cordillera Administrative Region (CAR)
Pilar,Abra,Cordillera Administrative Region (CAR)
Sallapadan,Abra,Cordillera Administrative Region (CAR)
San Isidro,Abra,Cordillera Administrative Region (CAR)
San Juan,Abra,Cordillera Administrative Region (CAR)
San Quintin,Abra,Cordillera Administrative Region (CAR)
Tayum,Abra,Cordillera Administrative Region (CAR)
Tineg,Abra,Cordillera Administrative Region (CAR)
Tubo,Abra,Cordillera Administrative Region (CAR)
Villaviciosa,Abra,Cordillera Administrative Region (CAR)
Buenavista,Agusan del Norte,Region XIII - CARAGA
Butuan,Agusan del Norte,Region XIII - CARAGA
Cabadbaran,Agusan del Norte,Region XIII - CARAGA
Carmen,Agusan del Norte,Region XIII - CARAGA
Jabonga,Agusan del Norte,Region XIII - CARAGA
Kitcharao,Agusan del Norte,Region XIII - CARAGA
Las Nieves,Agusan del Norte,Region XIII - CARAGA
Magallanes,Agusan del Norte,Region XIII - CARAGA
Nasipit,Agusan del Norte,Region XIII - CARAGA
Remedios T. Romualdez,Agusan del Norte,Region XIII - CARAGA
Santiago,Agusan del Norte,Region XIII - CARAGA
Tubay,Agusan del Norte,Region XIII - CARAGA
Bayugan,Agusan del Sur,Region XIII - CARAGA
Bunawan,Agusan del Sur,Region XIII - CARAGA
Esperanza,Agusan del Sur,Region XIII - CARAGA
La Paz,Agusan del Sur,Region XIII - CARAGA
Loreto,Agusan del Sur,Region XIII - CARAGA
Prosperidad,Agusan del Sur,Region XIII - CARAGA
Rosario,Agusan del Sur,Region XIII - CARAGA
San Francisco,Agusan del Sur,Region XIII - CARAGA
San Luis,Agusan del Sur,Region XIII - CARAGA
Santa Josefa,Agusan del Sur,Region XIII - CARAGA
